Number1, 20040
Number2, 20109
Number3, 20084
Number4, 20243
Number5, 19853
Number6, 19753
Number7, 19851
Number8, 20010
Number9, 20218
Number10, 20049
Number11, 19909
Number12, 19958
Number13, 19870
Number14, 19964
Number15, 20197
Number16, 19967
Number17, 19996
Number18, 20067
Number19, 20157
Number20, 19724
Number21, 19547
Number22, 20081
Number23, 19896
Number24, 19903
Number25, 20025
Number26, 20271
Number27, 19914
Number28, 20048
Number29, 20019
Number30, 19986
Number31, 20233
Number32, 19778
Number33, 20301
Number34, 19958
Number35, 19882
Number36, 20164
Number37, 19989
Number38, 19819
Number39, 19938
Number40, 19889
Number41, 19869
Number42, 20055
Number43, 19916
Number44, 20346
Number45, 19848
Number46, 20150
Number47, 19948
Number48, 20161
Number49, 19944
Number50, 20103
